goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  175364	      6706 ns/op	      1894 gas/op	       282.4 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  180642	      6350 ns/op	      1894 gas/op	       298.2 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-4        	  200953	      6267 ns/op	      1894 gas/op	       302.2 mgas/s	    2905 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  111330	     10975 ns/op	      1894 gas/op	       172.6 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  109400	     10437 ns/op	      1894 gas/op	       181.5 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  102506	     10891 ns/op	      1894 gas/op	       173.9 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  100844	     10787 ns/op	      1894 gas/op	       175.6 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  103644	     11738 ns/op	      1894 gas/op	       161.3 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  102416	     11326 ns/op	      1894 gas/op	       167.2 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  101916	     10897 ns/op	      1894 gas/op	       173.8 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  104630	     11012 ns/op	      1894 gas/op	       172.0 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  111313	     10754 ns/op	      1894 gas/op	       176.1 mgas/s	    4121 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-4          	  108700	     10846 ns/op	      1894 gas/op	       174.6 mgas/s	    4122 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19299	     63021 ns/op	     30310 gas/op	       480.9 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19306	     62692 ns/op	     30310 gas/op	       483.4 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19311	     62845 ns/op	     30310 gas/op	       482.3 mgas/s	    5850 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   18278	     63128 ns/op	     30310 gas/op	       480.1 mgas/s	    5849 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-4   	   19620	     62348 ns/op	     30310 gas/op	       486.1 mgas/s	    5850 B/op	      29 allocs/op
